"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
imp_reposition_spec;impellaassessment_and_complications;;radio;"Type of Repositioning";"1, Hybrid|2, Echocardiographic";;;;;;[imp_reposition]='1';;RH;;;;
imp_problem;impellaassessment_and_complications;;yesno;"Other problems with device";;;;;;;[imp_alarm]='1';;RH;;;;
imp_problem_spec;impellaassessment_and_complications;;text;"Specific problem of device";;;;;;;"[imp_problem] = '1'";;RH;;;;
na_post;hemodynamics_ventilation_medication;;yesno;"Mechanical Circulatory Support > 24 hours?";;;;;;;;y;RH;;;;
ecmella;hemodynamics_ventilation_medication;;yesno;"ECLS and Impella Support in the last 24 hours?";;;;;;;[na_post]='1';;RH;;;;
assess_time_point;hemodynamics_ventilation_medication;;dropdown;"Time Point";"1, 24h (day 1)|2, 48h (day 2)|3, 72h (day 3)|4, 96h (day 4)|5, 120h (day 5)|6, 144h (day 6)|7, 168h (day 7)|8, 192h (day 8)|9, 216h (day 9)|10, 240h (day 10)|11, day 11|12, day 12|13, day 13|14, day 14|15, day 15|16, day 16|17, day 17|18, day 18|19, day 19|20, day 20|21, day 21|22, day 22|23, day 23|24, day 24|25, day 25|26, day 26|27, day 27|28, day 28|29, day 29|30, day 30|31, day 31|32, day 32|33, day 33|34, day 34|35, day 35|36, day 36|37, day 37|38, day 38|39, day 39|40, day 40|41, day 41|42, day 42|43, day 43|44, day 44|45, day 45|46, day 46|47, day 47|48, day 48|49, day 49|50, day 50";;;;;;[na_post]='1';y;;;;;
assess_date_hemo;hemodynamics_ventilation_medication;;text;"Date of Assessment";;;date_dmy;1990-01-01;2030-01-01;;[na_post]='1';y;;;;;
nirs_avail;hemodynamics_ventilation_medication;NIRS;yesno;"NIRS available?";;;;;;;[na_post]='1';y;RH;;;;
nirs_loc;hemodynamics_ventilation_medication;;checkbox;"NIRS Location";"1, Cerebral|2, Femoral";;;;;;"[nirs_avail] = '1'";;RH;;;;
nirs_left_c;hemodynamics_ventilation_medication;;text;"NIRS cerebral left ";;"NIRS 1";number;1;80;;"[nirs_avail] = '1' and [nirs_loc(1)] = '1'";;;;;;
nirs_right_c;hemodynamics_ventilation_medication;;text;"NIRS cerebral right";;"NIRS 2";number;1;80;;"[nirs_avail] = '1' and [nirs_loc(1)] = '1'";;;;;;
nirs_left_f;hemodynamics_ventilation_medication;;text;"NIRS femoral left";;"NIRS 1";number;1;80;;"[nirs_avail] = '1' and [nirs_loc(2)] = '1'";;;;;;
nirs_right_f;hemodynamics_ventilation_medication;;text;"NIRS femoral right";;"NIRS 2";number;1;80;;"[nirs_avail] = '1' and [nirs_loc(2)] = '1'";;;;;;
nirs_change;hemodynamics_ventilation_medication;;yesno;"NIRS Change in the last 24 hours?";;;;;;;"[nirs_avail] = '1'";;RH;;;;
nirs_change_spec;hemodynamics_ventilation_medication;;text;"NIRS Change ";;;;;;;"[nirs_avail] = '1' and [nirs_change] = '1'";;;;;;
hr;hemodynamics_ventilation_medication;"Hemodynamic Parameter";text;"Heart Rate";;;number;10;200;;[na_post]='1';y;;;;;
sys_bp;hemodynamics_ventilation_medication;;text;"Systolic Blood Pressure ";;mmHg;number;20;250;;[na_post]='1';;;;;;
dia_bp;hemodynamics_ventilation_medication;;text;"Diastolic Blood Pressure";;mmHg;number;20;200;;[na_post]='1';;;;;;
mean_bp;hemodynamics_ventilation_medication;;text;"Mean Blood Pressure";;mmHg;number;20;200;;[na_post]='1';;;;;;
cvp;hemodynamics_ventilation_medication;;text;"Central Venous Pressure";;mmHg;number;0;35;;[na_post]='1';;;;;;
sp02;hemodynamics_ventilation_medication;;text;"Sp02 ";;%;number;20;100;;[na_post]='1';;;;;;
pac;hemodynamics_ventilation_medication;;yesno;"Pulmonary Artery Catheter available?";;;;;;;[na_post]='1';;;;;;
pcwp;hemodynamics_ventilation_medication;;text;"Pulmonary Capillary Wedge Pressure ";;mmHg;number;0;25;;"[pac] = '1'";;;;;;
sys_pap;hemodynamics_ventilation_medication;;text;"Systolic Pulmonary Arterial Pressure";;"mmHg ";number;0;100;;"[pac] = '1'";;;;;;
dia_pap;hemodynamics_ventilation_medication;;text;"Diastolic Pulmonary Arterial Pressure ";;"mmHg ";number;0;80;;"[pac] = '1'";;;;;;
mean_pap;hemodynamics_ventilation_medication;;text;"Mean Pulmonary Arterial Pressure";;mmHg;number;0;80;;"[pac] = '1'";;;;;;
ci;hemodynamics_ventilation_medication;;text;"Cardiac Index";;L/min/m²;number_1dp_comma_decimal;0,1;7,0;;"[pac] = '1'";;;;;;
vasoactive_med;hemodynamics_ventilation_medication;" Vasoactive Infusion";yesno;"Vasoactive Infusion?";;;;;;;[na_post]='1';y;RH;;;;
vasoactive_spec;hemodynamics_ventilation_medication;;checkbox;"Vasoactive Infusion";"1, Dobutamine|2, Dopamine|3, Enoximone|4, Epinephrine|5, Esmolol|6, Levosimendan|7, Metaraminol|8, Metoprolol|9, Milrinone|10, Nicardipine|11, Nitroglycerin|12, Nitroprusside|13, Norepinephrine|14, Phenylephrine|15, Tolazoline|16, Empressin|17, {vasoactive_o}";;;;;;"[vasoactive_med] = '1'";;;;;;
vasoactive_o;hemodynamics_ventilation_medication;;text;"Other Vasoactive Infusion";;;;;;;"[vasoactive_spec(17)] = '1'";;;;;;
dobutamine;hemodynamics_ventilation_medication;;text;"Dobutamine Dose";;"µg/kg/min ";number_2dp_comma_decimal;0,01;1,00;;"[vasoactive_spec(1)] = '1'";;;;;;
epinephrine;hemodynamics_ventilation_medication;;text;"Epinephrine Dose ";;"µg/kg/min ";number_2dp_comma_decimal;0,01;1,00;;"[vasoactive_spec(4)] = '1'";;;;;;
norepinephrine;hemodynamics_ventilation_medication;;text;"Norepinephrine Dose";;"µg/kg/min ";number_2dp_comma_decimal;0,01;1,00;;"[vasoactive_spec(13)] = '1'";;;;;;
vasopressin;hemodynamics_ventilation_medication;;text;"Empressin Dose";;IU/h;number_2dp_comma_decimal;0,01;5,00;;"[vasoactive_spec(16)] = '1'";;;;;;
milrinone;hemodynamics_ventilation_medication;;text;"Milrinone Dose";;"µg/kg/min ";number_2dp_comma_decimal;0,01;1,00;;"[vasoactive_spec(9)] = '1'";;;;;;
vent;hemodynamics_ventilation_medication;" Ventilation and Prone Positioning";radio;Ventilation;"5, Invasive Ventilation|1, Non invasive Ventilation|6, High Flow Therapy|2, No Ventilation";;;;;;[na_post]='1';y;;;;;
o2;hemodynamics_ventilation_medication;;text;02;;L/min;number;0;20;;"[vent] = '2'";;;;;;
fi02;hemodynamics_ventilation_medication;;text;Fi02;;%;number;20;100;;"[vent] = '5' or [vent] = '1' or [vent] = '6'";;;;;;
vent_spec;hemodynamics_ventilation_medication;;dropdown;"Ventilation Specifics";"1, IPPV|2, BIPAP|3, SIMV|4, ASB|5, PC-BIPAP|6, PC-PSV|7, PC-CMV|8, PC-SIMV|9, PC-PC-APRV|10, PC-AC|11, VC-CMV|12, VC-SIMV|13, VC-MMV|14, VC-AC|15, SPN-CPAP/PS|16, BiLevel|17, A/C VC|18, A/C PC|19, A/C PRVC|20, SIMV-VC|21, SIMV-PC|22, BiLevel-VG|23, CPAP/PS|24, SBT|25, NIV";;;;;;"[vent] = '5' or [vent] = '1'";;;;;;
vent_type;hemodynamics_ventilation_medication;;radio;"Ventilation Type ";"1, Conventional|2, HFO";;;;;;"[vent] = '5' or [vent] = '1'";;RH;;;;
hfv_rate;hemodynamics_ventilation_medication;;text;"High Frequency Ventilation Rate";;;number;1;1000;;"[vent_type] = '2'";;;;;;
conv_vent_rate;hemodynamics_ventilation_medication;;text;"Conventional Ventilation Rate";;;number;1;30;;"[vent_type] = '1'";;;;;;
vent_map;hemodynamics_ventilation_medication;;text;"Mean Airway Pressure";;mbar;number;1;40;;"[vent] = '5' or [vent] = '1'";;;;;;
vent_pip;hemodynamics_ventilation_medication;;text;"Peak Inspiratory Pressure ";;mbar;number;1;40;;"[vent] = '5' or [vent] = '1'";;;;;;
vent_peep;hemodynamics_ventilation_medication;;text;"Positive end-exspiratory Pressure ";;mbar;number;1;30;;"[vent] = '5' or [vent] = '1'";;;;;;
prone_pos;hemodynamics_ventilation_medication;;yesno;"Prone Positioning";;;;;;;[na_post]='1';;RH;;;;
rass;hemodynamics_ventilation_medication;" Neurology and Mobilisation";checkbox;"Richmond Agitation Sedation Scale (RASS)";"1, Combative (4)|2, Very agitated (3)|3, Agitated (2)|4, Restless (1)|5, Alert and calm (0)|6, Drowsy (-1)|7, Light sedation (-2)|8, Moderate sedation (-3)|9, Deep sedation (-4)|10, Unarousable (-5)";;;;;;[na_post]='1';y;;;;;
gcs_avail;hemodynamics_ventilation_medication;;yesno;"Glasgow Coma Scale available?";;;;;;;[na_post]='1';;RH;;;;
gcs;hemodynamics_ventilation_medication;;text;"Glasgow Coma Scale ";;"during sedation last GCS without sedation, after >24h without sedation current GCS ";number;3;15;;[gcs_avail]='1';;;;;;
mobil;hemodynamics_ventilation_medication;;dropdown;"Level of Mobilization during ECLS ";"1, Nothing (lying in bed)|2, Sitting in bed, exercises in bed|3, Passively moved to chair (no Standing)|4, Sitting over edge of bed|5, Standing (with or without assist)|6, Transferring bed to chair|7, Marching on spot (at bedside)|8, Walking with assistance of 2 or more People|9, Walking with assistance of 1 Person|10, Walking independently with a gail aid|11, Walking independently without a gail aid";;;;;;[na_post]='1';y;;;;;
iv_ac;hemodynamics_ventilation_medication;" Anticoagulation and Antiplatelet Therapy ";yesno;"Intravenous Anticoagulation?";;;;;;;[na_post]='1';y;RH;;;;
iv_ac_spec;hemodynamics_ventilation_medication;;radio;"Intravenous Anticoagulation Specific";"1, Heparine|2, Argatroban";;;;;;"[iv_ac] = '1'";;RH;;;;
post_antiplat;hemodynamics_ventilation_medication;;yesno;"Antiplatelet Therapy?";;;;;;;[na_post]='1';y;RH;;;;
post_antiplat_spec;hemodynamics_ventilation_medication;;checkbox;"Specific Antiplatelet Therapy";"1, Aspirin|2, Clopidogrel|3, Ticagrelor|4, Prasugrel|5, {post_antiplat_o}";;;;;;"[post_antiplat] = '1'";;;;;;
post_antiplat_o;hemodynamics_ventilation_medication;;text;"Other Antiplatelet Therapy ";;;;;;;"[post_antiplat_spec(5)] = '1'";;;;;;
antibiotic;hemodynamics_ventilation_medication;" Antibiotic and Antiviral Treatment";yesno;"Antibiotic/Antimycotic Treatment?";;;;;;;[na_post]='1';y;RH;;;;
antibiotic_spec;hemodynamics_ventilation_medication;;checkbox;"Specific Antibiotic Treatment";"13, Ciprofloxacin|1, Cefuroxim|19, Cefazolin|20, Ceftriaxon|2, Piperacillin/Tazobactam|3, Meropenem|4, Vancomycin i.v.|5, Vancomycin p.o.|6, Linezolid|7, Daptomycin|8, Penicllin G|9, Flucloxacillin|10, Rifampicin|11, Gentamycin|12, Tobramycin|15, Erythromycin|16, Caspofungin|17, Amphotericin B inh.|18, Metronidazol|14, {antibiotic_spec_o}";;;;;;"[antibiotic] = '1'";;;;;;
antibiotic_spec_o;hemodynamics_ventilation_medication;;text;"Other Antibiotic Treatment";;;;;;;"[antibiotic_spec(14)] = '1'";;;;;;
antiviral;hemodynamics_ventilation_medication;;yesno;"Antiviral Treatment?";;;;;;;[na_post]='1';y;RH;;;;
antiviral_spec;hemodynamics_ventilation_medication;;text;"Specific Antiviral Treatment";;;;;;;"[antiviral] = '1'";;;;;;
nutrition;hemodynamics_ventilation_medication;Nutrition;yesno;"Nutrition administered?";;;;;;;[na_post]='1';y;RH;;;;
nutrition_spec;hemodynamics_ventilation_medication;;checkbox;"Specific Nutrition";"1, Enteral|2, Parenteral";;;;;;[nutrition]='1';;RH;;;;
transfusion_coag;hemodynamics_ventilation_medication;"Transfusion and Coagulation Products";yesno;"Transfusion or Coagulation Products required?";;;;;;;[na_post]='1';y;RH;;;;
thromb_t;hemodynamics_ventilation_medication;;text;"Thrombocyte Transfusion";;"units/24 hours";number;0;30;;"[transfusion_coag] = '1'";;;;;;
ery_t;hemodynamics_ventilation_medication;;text;"Red Blood Cell Transfusion";;"units/24 hours";number;0;30;;"[transfusion_coag] = '1'";;;;;;
ffp_t;hemodynamics_ventilation_medication;;text;"Fresh Frozen Plasma Transfusion";;"units/24 hours";number;0;30;;"[transfusion_coag] = '1'";;;;;;
ppsb_t;hemodynamics_ventilation_medication;;text;"PPSB Administration";;IU/24h;number;0;5000;;"[transfusion_coag] = '1'";;;;;;
fib_t;hemodynamics_ventilation_medication;;text;"Fibrinogen Administration";;g/24h;number;0;10;;"[transfusion_coag] = '1'";;;;;;
at3_t;hemodynamics_ventilation_medication;;text;"Antithrombin III Administration";;IE/24h;number;0;3000;;"[transfusion_coag] = '1'";;;;;;
fxiii_t;hemodynamics_ventilation_medication;;text;"Factor XIII Administration";;IE;number;;;;"[transfusion_coag] = '1'";;;;;;
organ_support;hemodynamics_ventilation_medication;"Organ Support ";checkbox;"Other Organ Support";"1, Inhaled Anesthetic|2, Inhalted Epoprostenol|3, Inhaled Nitric Oxide|4, Liquid Ventilation|5, Surfactant|6, Plasmapheresis|7, Therapeutic Hypothermia < 35°C degrees C|9, MARS|10, Cytosorb|8, None";;;;;;[na_post]='1';;;;;;" @NONEOFTHEABOVE=8"
medication;hemodynamics_ventilation_medication;;checkbox;Medication;"1, Alprostadil|2, IV Bicarbonate|3, Prostacyclin Analogues|4, Narcotics/Sedative Agents|5, Neuromuscular blockers|10, Opiods|11, Antipsychotic medication|6, Sildenafil|7, Systemic Steriods|8, Trometamol|9, None";;;;;;[na_post]='1';;;;;;
narcotics_spec;hemodynamics_ventilation_medication;;checkbox;"Narcotics and sedative agents";"1, Propofol|2, Midazolam|3, Ketamin|4, Dexmetomidin";;;;;;"[medication(4)] = '1'";;;;;;
renal_repl;hemodynamics_ventilation_medication;" Kidney Function";radio;"Renal Replacement Therapy required?";"1, Hemodialysis|2, Continuous Hemofiltration|3, No";;;;;;[na_post]='1';y;RH;;;;
urine;hemodynamics_ventilation_medication;;text;"Total Urine Output";;;number;0;4800;;[na_post]='1';y;;;;;
aki_3_3;hemodynamics_ventilation_medication;;calc;"Acute Kidney Injury 3 = Failure ";"if([urine]/[weight]< 7.2,1,"""")";;;;;;"[na_post]=""1""";;;;;;" @HIDDEN"
output_renal_repl;hemodynamics_ventilation_medication;;text;"Total Output via Renal Replacement Therapy ";;ml;number;0;5000;;"[renal_repl] = '1' or [renal_repl] = '2'";;;;;;
fluid_balance;hemodynamics_ventilation_medication;;radio;"Fluid Balancing ";"1, positive|2, negative";;;;;;[na_post]='1';y;RH;;;;
fluid_balance_numb;hemodynamics_ventilation_medication;;text;"Fluid Balancing";;;number;0;10000;;[na_post]='1';;;;;;
na_post_2;labor;;yesno;"Mechanical Circulatory Support > 24 hours?";;;;;;;;y;RH;;;;
ecmella_2;labor;;yesno;"ECLS and Impella support in the last 24 hours?";;;;;;;[na_post_2]='1';;RH;;;;
assess_time_point_labor;labor;"<div class=""rich-text-field-label""><p>ECLS and Impella support in the last 24 hours -></p> <p>please collect only arterial blood glas in the Impella form during ECMELLA support</p></div>";dropdown;"Time Point";"1, 24h (day 1)|2, 48h (day 2)|3, 72h (day 3)|4, 96h (day 4)|5, 120h (day 5)|6, 144h (day 6)|7, 168h (day 7)|8, 192h (day 8)|9, 216h (day 9)|10, 240h (day 10)|11, day 11|12, day 12|13, day 13|14, day 14|15, day 15|16, day 16|17, day 17|18, day 18|19, day 19|20, day 20|21, day 21|22, day 22|23, day 23|24, day 24|25, day 25|26, day 26|27, day 27|28, day 28|29, day 29|30, day 30|31, day 31|32, day 32|33, day 33|34, day 34|35, day 35|36, day 36|37, day 37|38, day 38|39, day 39|40, day 40|41, day 41|42, day 42|43, day 43|44, day 44|45, day 45|46, day 46|47, day 47|48, day 48|49, day 49|50, day 50";;;;;;"[na_post_2]=""1""";y;;;;;
assess_date_labor;labor;;text;"Date of Assessment";;;date_dmy;1990-01-01;2030-01-01;;"[na_post_2]=""1""";;;;;;
art_site;labor;" ";dropdown;"Withdrawal Site ";"1, Arteria radialis right|2, Arteria radialis left|3, Arteria brachialis right|4, Arteria brachialis left|5, Arteria femoralis right|6, Arteria femoralis left|7, unknown";;;;;;"[na_post_2]=""1""";;;;;;
pc02;labor;"<div class=""rich-text-field-label""><p>Arterial Blood Gas</p> <p><span style=""font-weight: normal;"">maximal +/- 1 hour Time Point</span></p></div>";text;pC02;;mmHg;number_1dp_comma_decimal;15,0;120,0;;"[na_post_2]=""1""";;;;;;
p02;labor;;text;pO2;;mmHg;number_1dp_comma_decimal;20,0;600,0;;"[na_post_2]=""1""";;;;;;
ph;labor;;text;pH;;;number_2dp_comma_decimal;6,80;7,70;;"[na_post_2]=""1""";;;;;;
hco3;labor;;text;HCO3;;mmol/L;number_1dp_comma_decimal;5,0;50,0;;"[na_post_2]=""1""";;;;;;
be;labor;;text;"BE ";;mmol/L;number_1dp_comma_decimal;-25,0;25,0;;"[na_post_2]=""1""";;;;;;
sa02;labor;;text;Sa02;;%;number_1dp_comma_decimal;30,0;100,0;;"[na_post_2]=""1""";;;;;;
k;labor;;text;Kalium;;mmol/L;number_1dp_comma_decimal;1,5;9,0;;"[na_post_2]=""1""";;;;;;
na;labor;;text;Natrium;;mmol/L;number;110;160;;"[na_post_2]=""1""";;;;;;
gluc;labor;;text;Glucose;;mg/dL;number;20;500;;"[na_post_2]=""1""";;;;;;
lactate;labor;;text;Lactate;;mg/dl;number;1;250;;"[na_post_2]=""1""";;;;;;
sv02;labor;" ";text;Sv02;;%;number_1dp_comma_decimal;15,0;100,0;;"[na_post_2]=""1""";;;;;;
date_assess_labor;labor;"<div class=""rich-text-field-label""><p>Laboratory Parameter <br /><br /><span style=""font-weight: normal;"">Document the withdrawal time nearest to time point</span></p></div>";text;"Date of Assessment";;;date_dmy;1990-01-01;2030-01-01;;"[na_post_2]=""1""";y;;;;;
time_assess_labor;labor;;text;"Time of Assessment";;;time;;;;"[na_post_2]=""1""";;;;;;
wbc;labor;" ";text;"White Blood Cells";;K/µL;number_1dp_comma_decimal;0,1;30,0;;"[na_post_2]=""1""";;;;;;
hb;labor;;text;Hemoglobin;;g/dl;number_1dp_comma_decimal;4,5;20,0;;"[na_post_2]=""1""";;;;;;
hct;labor;;text;Hematocrit;;%;number_1dp_comma_decimal;20,0;60,0;;"[na_post_2]=""1""";;;;;;
plt;labor;;text;Platelets;;K/µL;number;1;800;;"[na_post_2]=""1""";;;;;;
ptt;labor;"Coagulation Parameter";text;PTT;;s;number_1dp_comma_decimal;22,0;180,0;;"[na_post_2]=""1""";;;;;;
quick;labor;;text;Quick;;%;number;1;100;;"[na_post_2]=""1""";;;;;;
inr;labor;;text;INR;;;number_1dp_comma_decimal;1,0;8,0;;"[na_post_2]=""1""";;;;;;
post_act;labor;;yesno;"ACT measured?";;;;;;;"[na_post_2]=""1""";;RH;;;;
act;labor;;text;ACT;;;number;90;800;;"[post_act] = '1' AND [na_post_2]=""1""";;;;;;
ck;labor;;text;CK;;U/L;number;0;20000;;"[na_post_2]=""1""";;;;;;
ckmb;labor;;text;"CK - MB";;U/L;number;0;700;;"[na_post_2]=""1""";;;;;;
got;labor;;text;"GOT (ASAT)";;U/L;number;1;10000;;"[na_post_2]=""1""";;;;;;
alat;labor;;text;"GPT (ALAT)";;U/L;;;;;"[na_post_2]=""1""";;;;;;
ggt;labor;;text;"GGT ";;U/L;;;;;"[na_post_2]=""1""";;;;;;
ldh;labor;;text;LDH;;U/L;number;1;20000;;"[na_post_2]=""1""";;;;;;
lipase;labor;;text;Lipase;;U/L;number_1dp_comma_decimal;4,0;200,0;;"[na_post_2]=""1""";;;;;;
albumin;labor;;text;Albumin;;g/dL;number_1dp_comma_decimal;0,1;6,0;;"[na_post_2]=""1""";;;;;;
post_crp;labor;;yesno;"CRP measured?";;;;;;;"[na_post_2]=""1""";;RH;;;;
crp;labor;;text;CRP;;mg/dl;number_1dp_comma_decimal;1,0;50,0;;"[post_crp]='1' AND [na_post_2]=""1""";;;;;;
post_pct;labor;;yesno;"Procalcitonin measured?";;;;;;;"[na_post_2]=""1""";;RH;;;;
pct;labor;;text;Procalcitonin;;ng/ml;number_2dp_comma_decimal;0,00;10,00;;"[post_pct] = '1' AND [na_post_2]=""1""";;;;;;
hemolysis;labor;;yesno;"Hemolysis Parameter measured?";;;;;;;"[na_post_2]=""1""";;RH;;;;
fhb;labor;;text;"free Hemoglobin";;mg/dl;number_1dp_comma_decimal;0,0;200,0;;"[hemolysis] = '1' AND [na_post_2]=""1""";;;;;;
hapto;labor;;text;Haptoglobin;;mg/dl;number_1dp_comma_decimal;8,0;300,0;;"[hemolysis] = '1' AND [na_post_2]=""1""";;;;;;
bili;labor;;text;"Bilirubin (total)";;mg/dl;number_2dp_comma_decimal;0,00;40,00;;"[na_post_2]=""1""";;;;;;
crea;labor;" Kidney Parameter";text;Creatinin;;mg/dl;number_1dp_comma_decimal;0,1;7,0;;"[na_post_2]=""1""";;;;;;
aki_1_1;labor;;calc;"AKI Stadium 1 Krea 1,5-1,9x";"if([crea][current-instance]/[pre_crea]>= 1.5 and [crea][current-instance]/[pre_crea]< 2 and [assess_time_point_labor]<=7,1,"""")";;;;;;"[na_post_2]=""1""";;;;;;
aki_1_2;labor;;calc;"AKI Stadium 1 Krea >0.3mg/dl";"if([crea][current-instance]-[pre_crea]>= 0.3 and [assess_time_point_labor]<=2,1,"""")";;;;;;"[na_post_2]=""1""";;;;;;
aki_2;labor;;calc;"AKI Stadium 2 Krea 2-2,9x";"if([crea][current-instance]/[pre_crea]>= 2 and [crea][current-instance]/[pre_crea]< 3,2,"""")";;;;;;"[na_post_2]=""1""";;;;;;
aki_3_1;labor;;calc;"AKI Stadium 3 Krea>3x";"if([crea][current-instance]/[pre_crea]>= 3,3,"""")";;;;;;"[na_post_2]=""1""";;;;;;
aki_3_2;labor;;calc;"AKI Stadium 3 4mg/dl with acute rise ";"if([crea][current-instance] - [crea][previous-instance]>= ""0.5"" and [crea][current-instance]>=""4.0"",3,"""")";;;;;;"[na_post_2]=""1""";;;;;;
urea;labor;;text;Urea;;mg/dl;number_1dp_comma_decimal;10,0;300,0;;"[na_post_2]=""1""";;;;;;
cc;labor;;text;"Creatinine Clearance";;ml/min/1.73^-2;number_2dp_comma_decimal;1,00;150,00;;"[na_post_2]=""1""";;;;;;
na_complication;complications;;yesno;"Mechanical Circulatory Support > 24 hours?";;;;;;;;y;RH;;;;
ecmella_complication;complications;;yesno;"ECLS and Impella support in the last (24) hours?";;;;;;;;;RH;;;;
date_complication;complications;;text;"Date of Assessment";;;date_dmy;;;;;;;;;;
complication_time_point;complications;;dropdown;"Time Point";"1, 24h (day 1)|2, 48h (day 2)|3, 72h (day 3)|4, 96h (day 4)|5, 120h (day 5)|6, 144h (day 6)|7, 168h (day 7)|8, 192h (day 8)|9, 216h (day 9)|10, 240h (day 10)|11, day 11|12, day 12|13, day 13|14, day 14|15, day 15|16, day 16|17, day 17|18, day 18|19, day 19|20, day 20|21, day 21|22, day 22|23, day 23|24, day 24|25, day 25|26, day 26|27, day 27|28, day 28|29, day 29|30, day 30|31, day 31|32, day 32|33, day 33|34, day 34|35, day 35|36, day 36|37, day 37|38, day 38|39, day 39|40, day 40|41, day 41|42, day 42|43, day 43|44, day 44|45, day 45|46, day 46|47, day 47|48, day 48|49, day 49|50, day 50";;;;;;"[na_complication]=""1""";;;;;;
hit_ii;complications;" ";yesno;"Heparin induced Thrombocytopenia II";;;;;;;;;RH;;;;
hemorrhage;complications;" ";yesno;Hemorrhage;;;;;;;;y;RH;;;;
gi_hemorrhage;complications;;yesno;"GI hemorrhage";;"upper or lower GI hemorrhage requiring >3 Units PRBCS/day or endoscopic intervention or hemostatic agent deployment";;;;;"[hemorrhage] = '1'";;RH;;;;
peripher_cannulation_bleeding;complications;;yesno;"Peripheral Cannulation Site Bleeding";;"peripheral cannulation site bleeding requiring >3 Units PRBC transfusion/day or surgical intervention (includes intravascular hemostatic agent deployment) ";;;;;"[hemorrhage] = '1'";;RH;;;;
media_cannulation_bleeding;complications;;yesno;"Mediastinal Cannulation site Bleeding";;"mediastinal cannulation site bleeding requiring >3 Units PRBC transfusion/day or surgical intervention";;;;;"[hemorrhage] = '1'";;RH;;;;
surgical_bleeding;complications;;yesno;"Surgical site Bleeding";;"requriring >3 Units PRBC/day or surgical intervention";;;;;"[hemorrhage] = '1'";;RH;;;;
hemorrhage_o;complications;;yesno;"Other Hemorrhage";;"requriring >3 Units PRBC/day or intervention";;;;;"[hemorrhage] = '1'";;RH;;;;
hemorrhage_o_spec;complications;;text;"Specific Other Hemorrhage";;;;;;;[hemorrhage_o]='1';;;;;;
neurological_complications;complications;" ";yesno;"Neurological Complications";;;;;;;;y;RH;;;;
brain_death;complications;;yesno;"Brain Death";;;;;;;"[neurological_complications] = '1'";;RH;;;;
seizures_clinic;complications;;yesno;"Seizures Clinically determined";;;;;;;"[neurological_complications] = '1'";;RH;;;;
seizures_eeg;complications;;yesno;"Seizures Confirmed by EEG";;;;;;;"[neurological_complications] = '1'";;RH;;;;
cns_diffuse_ischemia;complications;;yesno;"CNS diffuse ischemia";;"CT or MR demonstrating diffuse ischemic changes";;;;;"[neurological_complications] = '1'";;RH;;;;
cns_local_ischemia;complications;;yesno;"CNS Infarction";;"CT or MR demonstrating localized ischemic change";;;;;"[neurological_complications] = '1'";;RH;;;;
cns_hemorrhage;complications;;yesno;"Intra/Extra parenchymal CNS Hemorrhage ";;"may be intraparenchymal, subdural or subarachnoid";;;;;"[neurological_complications] = '1'";;RH;;;;
intraventricular_cns_hemorrhage;complications;;yesno;"Intraventricular CNS hemorrhage";;;;;;;"[neurological_complications] = '1'";;RH;;;;
neurosurgical_intervention;complications;;yesno;"Neurosurgical Intervention performed";;"neurosurgical procedure performed during ECLS run (intracranial pressure monitor, external ventricular drain, craniotomy)";;;;;"[neurological_complications] = '1'";;RH;;;;
nc_o;complications;;yesno;"Other Neurologic Complications";;;;;;;"[neurological_complications] = '1'";;RH;;;;
nc_o_spec;complications;;text;"Specific Other Neurologic Complications";;;;;;;[nc_o_spec]='1';;;;;;
cardio_complications;complications;" ";yesno;"Cardiovascular Complications";;"CPR, Tamponade, Cardiac Arrhythmia";;;;;;y;RH;;;;
cpr;complications;;yesno;"CPR required";;"chest compressions and cardiopulmonary resuscitation required during tMCS run";;;;;"[cardio_complications] = '1'";;RH;;;;
tamponade_blood;complications;;yesno;"Tamponade (blood)";;"tamponade during tMCS run requiring pericardial drain or mediastinal washout ";;;;;"[cardio_complications] = '1'";;RH;;;;
tamponade_not;complications;;yesno;"Tamponade (not blood)";;"tamponade during ECLS run requiring pericardial drain or mediastinal washout";;;;;"[cardio_complications] = '1'";;RH;;;;
cardiac_arrhythmia;complications;;yesno;"Cardiac Arrhythmia";;"requiring antiarrythmic medication infusion, overdrive pacing, cardioversion or defibrillation";;;;;"[cardio_complications] = '1'";;RH;;;;
arrhythmia_spec;complications;;checkbox;"Specific Cardiac Arrhythmia";"1, Atrial fibrillation|2, Atrial flutter|3, Ventricular tachycardia|4, Ventricular fibrillation|5, AV-Block II|6, AV-Block III|7, Sinus node dysfunction";;;;;;[cardiac_arrhythmia]='1';;;;;;
arrhythmia_therapy;complications;;checkbox;"Therapy for Cardiac Arrhythmia ";"1, Defibrillation|2, Cardioversion|5, Permanent Ventricular Pacing|3, Amiodaron|4, Xylocain|6, Gilurytmal";;;;;;[cardiac_arrhythmia]='1';;;;;;
